Level,Date,Source,ID,Task
Information,3/14/2022 7:55:18 PM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,3/14/2022 7:55:18 PM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,3/14/2022 7:55:18 PM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,3/14/2022 7:55:18 PM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,3/14/2022 7:55:18 PM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Warning,3/14/2022 7:55:17 PM,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Information,3/14/2022 7:55:16 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎15T02:55:16.500000000Z from ‎2022‎-‎03‎-‎14T17:02:49.017394000Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,3/14/2022 7:55:17 PM,EventLog,6013,None,The system uptime is 70861 seconds.
Information,3/14/2022 10:02:49 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,3/14/2022 10:02:46 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,3/14/2022 10:02:43 AM,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,3/14/2022 10:02:43 AM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,3/14/2022 10:02:39 AM,User32,1074,None,"The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-D57JJ0U) has initiated the power off of computer DESKTOP-D57JJ0U on behalf of user DESKTOP-D57JJ0U\Hp for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: power off
 Comment: "
Information,3/14/2022 9:23:06 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎14T16:23:06.503727900Z from ‎2022‎-‎03‎-‎14T16:23:06.501768900Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 3804)."
Information,3/14/2022 9:23:06 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
Information,3/14/2022 9:23:06 AM,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123) with reference id 1096700200. Current local stratum number is 4."
Information,3/14/2022 9:23:06 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎14T16:23:06.501768900Z from ‎2022‎-‎03‎-‎14T16:23:01.911147300Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 3804)."
Information,3/14/2022 9:23:06 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
Information,3/14/2022 9:23:01 AM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123)."
Warning,3/14/2022 9:20:37 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name rr5---sn-4wg7ln76.googlevideo.com timed out after none of the configured DNS servers responded.
Information,3/14/2022 9:10:19 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/14/2022 9:08:12 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,3/14/2022 9:00:54 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.youtube.com timed out after none of the configured DNS servers responded.
Information,3/14/2022 9:00:54 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP26
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/14/2022 9:00:54 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP26
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/14/2022 9:00:54 AM,NETwNb64,7036,None,The \Device\NDMP26 service entered the Intel(R) Dual Band Wireless-AC 7260 state.
Information,3/14/2022 9:00:53 AM,NETwNb64,8000,None,"The description for Event ID 8000 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP23
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Warning,3/14/2022 9:00:53 AM,Microsoft-Windows-WLAN-AutoConfig,4003,None,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 7
IP Family: 0
"
Warning,3/14/2022 8:36:34 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.youtube.com timed out after none of the configured DNS servers responded.
Warning,3/14/2022 8:32:35 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.youtube.com timed out after none of the configured DNS servers responded.
Information,3/14/2022 8:24:35 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Warning,3/14/2022 8:21:43 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name tile-service.weather.microsoft.com timed out after none of the configured DNS servers responded.
Information,3/14/2022 8:21:18 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/14/2022 8:20:53 AM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Warning,3/14/2022 8:20:18 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-D57JJ0U\Hp SID (S-1-5-21-59471354-1410144394-4117892861-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/14/2022 7:30:44 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name mtalk.google.com timed out after none of the configured DNS servers responded.
Information,3/14/2022 7:00:58 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2022‎-‎03‎-‎14T13:54:40.133129400Z
Wake Time: ‎2022‎-‎03‎-‎14T14:00:57.293043400Z

Wake Source: Unknown"
Warning,3/14/2022 7:00:57 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,3/14/2022 7:00:57 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,3/14/2022 7:00:57 AM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,3/14/2022 7:00:57 AM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,3/14/2022 7:00:57 AM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x2.
Information,3/14/2022 7:00:57 AM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1A63F8.
Information,3/14/2022 7:00:57 AM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,3/14/2022 7:00:56 AM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,3/14/2022 7:00:54 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎14T14:00:54.500000000Z from ‎2022‎-‎03‎-‎14T13:54:55.882510300Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,3/14/2022 6:54:55 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,3/14/2022 6:54:51 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Battery"
Warning,3/14/2022 6:54:45 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-D57JJ0U\Hp SID (S-1-5-21-59471354-1410144394-4117892861-1002) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.1320_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,3/14/2022 6:54:40 AM,Microsoft-Windows-Kernel-Power,524,(223),Critical Battery Trigger Met
Information,3/14/2022 6:35:07 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/14/2022 6:33:01 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/14/2022 6:06:34 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/14/2022 6:04:22 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/14/2022 5:19:54 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/14/2022 5:17:47 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/14/2022 5:15:40 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/14/2022 5:13:21 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/14/2022 5:02:53 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP23
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/14/2022 5:02:53 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP23
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/14/2022 5:02:53 AM,NETwNb64,7036,None,The \Device\NDMP23 service entered the Intel(R) Dual Band Wireless-AC 7260 state.
Information,3/14/2022 5:02:52 AM,NETwNb64,8000,None,"The description for Event ID 8000 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP20
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Warning,3/14/2022 5:02:51 AM,Microsoft-Windows-WLAN-AutoConfig,4003,None,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 7
IP Family: 0
"
Warning,3/14/2022 5:01:58 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name flutter.github.io timed out after none of the configured DNS servers responded.
Information,3/14/2022 4:12:00 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP20
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/14/2022 4:12:00 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP20
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/14/2022 4:11:59 AM,NETwNb64,7036,None,The \Device\NDMP20 service entered the Intel(R) Dual Band Wireless-AC 7260 state.
Warning,3/14/2022 4:11:59 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name bn1301.storage.live.com timed out after none of the configured DNS servers responded.
Information,3/14/2022 4:11:59 AM,NETwNb64,8000,None,"The description for Event ID 8000 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP17
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Warning,3/14/2022 4:11:58 AM,Microsoft-Windows-WLAN-AutoConfig,4003,None,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 7
IP Family: 0
"
Information,3/14/2022 3:54:11 AM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Warning,3/14/2022 2:49:54 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name omnatuor.com timed out after none of the configured DNS servers responded.
Information,3/14/2022 2:43:54 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP17
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/14/2022 2:43:54 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP17
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/14/2022 2:43:54 AM,NETwNb64,7036,None,The \Device\NDMP17 service entered the Intel(R) Dual Band Wireless-AC 7260 state.
Warning,3/14/2022 2:43:53 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name mtalk.google.com timed out after none of the configured DNS servers responded.
Information,3/14/2022 2:43:53 AM,NETwNb64,8000,None,"The description for Event ID 8000 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP14
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Warning,3/14/2022 2:43:53 AM,Microsoft-Windows-WLAN-AutoConfig,4003,None,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 5
IP Family: 0
"
Warning,3/14/2022 2:43:48 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name geo.prod.do.dsp.mp.microsoft.com timed out after none of the configured DNS servers responded.
Information,3/14/2022 2:39:58 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP14
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/14/2022 2:39:58 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP14
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,3/14/2022 2:39:58 AM,NETwNb64,7036,None,The \Device\NDMP14 service entered the Intel(R) Dual Band Wireless-AC 7260 state.
Information,3/14/2022 2:39:57 AM,NETwNb64,8000,None,"The description for Event ID 8000 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP2
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Warning,3/14/2022 2:39:57 AM,Microsoft-Windows-WLAN-AutoConfig,4003,None,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 7
IP Family: 0
"
Warning,3/14/2022 2:39:54 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name omnatuor.com timed out after none of the configured DNS servers responded.
Information,3/14/2022 2:22:41 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.359.1928.0)
Information,3/14/2022 2:22:27 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.359.1928.0)
Information,3/14/2022 2:22:27 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,3/14/2022 1:44:17 AM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,3/14/2022 1:27:13 AM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Warning,3/14/2022 1:26:04 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-D57JJ0U\Hp SID (S-1-5-21-59471354-1410144394-4117892861-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,3/14/2022 1:12:22 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,3/14/2022 1:10:10 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,3/14/2022 1:10:09 AM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Warning,3/14/2022 1:09:09 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-D57JJ0U\Hp SID (S-1-5-21-59471354-1410144394-4117892861-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,3/14/2022 12:53:08 AM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,3/14/2022 12:53:05 AM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Warning,3/14/2022 12:52:50 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,3/14/2022 12:52:50 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,3/14/2022 12:52:50 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2022‎-‎03‎-‎14T07:29:45.415148500Z
Wake Time: ‎2022‎-‎03‎-‎14T07:52:49.586739400Z

Wake Source: Power Button"
Information,3/14/2022 12:52:48 AM,Microsoft-Windows-Kernel-Power,130,(33),"Firmware S3 times. SuspendStart: 942214, SuspendEnd: 942412"
Information,3/14/2022 12:52:48 AM,Microsoft-Windows-Kernel-Power,131,(33),"Firmware S3 times. ResumeCount: 1, FullResume: 223, AverageResume: 223"
Information,3/14/2022 12:52:48 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎03‎-‎14T07:52:48.500000000Z from ‎2022‎-‎03‎-‎14T07:29:48.946772100Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,3/14/2022 12:29:48 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,3/14/2022 12:29:48 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: System Idle"
Information,3/14/2022 12:24:47 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Information,3/14/2022 12:16:53 AM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123)."
Warning,3/14/2022 12:16:31 AM,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Warning,3/14/2022 12:16:29 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID
Windows.SecurityCenter.WscDataProtection
 and APPID
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/14/2022 12:16:29 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID
Windows.SecurityCenter.SecurityAppBroker
 and APPID
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/14/2022 12:16:29 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID
Windows.SecurityCenter.WscBrokerManager
 and APPID
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/14/2022 12:16:29 AM,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Information,3/14/2022 12:16:29 AM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Warning,3/14/2022 12:15:26 AM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 2 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,3/14/2022 12:15:26 AM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 0 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,3/14/2022 12:15:26 AM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 3 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,3/14/2022 12:15:26 AM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 1 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Error,3/14/2022 12:14:51 AM,Microsoft-Windows-WER-SystemErrorReporting,1001,None,"The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000009f (0x0000000000000004, 0x000000000000012c, 0xffffba08b16e0040, 0xfffff18d79a37880). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 54dc703f-3bc6-4d35-be53-b73f0260b087."
Information,3/14/2022 12:14:47 AM,Microsoft-Windows-TPM-WMI,1026,None,"The Trusted Platform Module (TPM) hardware on this computer cannot be provisioned for use automatically.  To set up the TPM interactively use the TPM management console (Start->tpm.msc) and use the action to make the TPM ready.

Error: The TPM provisioning action is not allowed by the specified flags.  For provisioning to be successful, one of several actions may be required.  The TPM management console (tpm.msc) action to make the TPM Ready may help.  For further information, see the documentation for the Win32_Tpm WMI method 'Provision'.  (The actions that may be required include importing the TPM Owner Authorization value into the system, calling the Win32_Tpm WMI method for provisioning the TPM and specifying TRUE for either 'ForceClear_Allowed' or 'PhysicalPresencePrompts_Allowed' (as indicated by the value returned in the Additional Information), or enabling the TPM in the system BIOS.)
Additional Information: 0x11c"
Information,3/14/2022 12:14:47 AM,Microsoft-Windows-TPM-WMI,1282,None,The TBS device identifier has been generated.
Warning,3/14/2022 12:14:35 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/14/2022 12:14:35 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,3/14/2022 12:14:32 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,3/14/2022 12:14:27 AM,TPM,18,None,This event triggers the Trusted Platform Module (TPM) provisioning/status check to run.
